model_label,threshold,max_depth,learning_rate,scale_pos_weight,subsample,accuracy,roc_auc,precision_1,recall_1,f1_1,support_1,precision_0,recall_0,f1_0,support_0,fp_rate,fn_rate,percent_predicted_not_delayed,true_positives,false_positives,true_negatives,false_negatives
model_10,0.4,6,0.05,3,1.0,0.7652869359765425,0.7063958683193231,0.2776434470646226,0.4550437969190873,0.3448666157730916,76919.33333333333,0.9048438384657613,0.8140217051331985,0.8570331791163678,489664.6666666667,0.18597829486680154,0.5449562030809127,77.74934225698807,35001.666666666664,91067.0,398597.6666666667,41917.666666666664
model_10,0.45,6,0.05,3,1.0,0.8148929961547332,0.7063958683193231,0.31995758060279617,0.3229530456239159,0.3214418422344915,76919.33333333333,0.8934885600884696,0.8921697437918992,0.8928282075534124,489664.6666666667,0.10783025620810088,0.6770469543760841,86.29647148525197,24841.333333333332,52800.666666666664,436864.0,52078.0
model_11,0.15,6,0.05,5,0.8,0.1648940551327488,0.706542268546361,0.13932459474143036,0.9949514223023105,0.24442232685502074,76919.33333333333,0.9775407393426039,0.03450388588733932,0.06665331711985056,489664.6666666667,0.9654961141126607,0.005048577697689567,3.0505038382069856,76531.0,472769.3333333333,16895.333333333332,388.3333333333333
model_11,0.2,6,0.05,5,0.8,0.20992591860459645,0.706542268546361,0.14476481302715657,0.9820461270892148,0.25233285359885727,76919.33333333333,0.969165117232103,0.088636850151315,0.1624178564221606,489664.6666666667,0.911363149848685,0.017953872910785162,7.904094244336821,75538.33333333333,446262.3333333333,43402.333333333336,1381.0
model_11,0.25,6,0.05,5,0.8,0.2808862704676917,0.706542268546361,0.15375821804281697,0.9540904340143582,0.2648362218680093,76919.33333333333,0.960452388572135,0.17513550032305691,0.29624940334672656,489664.6666666667,0.8248644996769431,0.04590956598564172,15.759181339395392,73388.0,403907.0,85757.66666666667,3531.3333333333335
model_11,0.3,6,0.05,5,0.8,0.3683202020059397,0.706542268546361,0.1660221017958791,0.9079381837675947,0.2807137061177176,76919.33333333333,0.9514746826181996,0.2835539137504101,0.4368999424118629,489664.6666666667,0.7164460862495899,0.09206181623240524,25.755698478366256,69838.0,350818.3333333333,138846.33333333334,7081.333333333333
model_11,0.35,6,0.05,5,0.8,0.4666368976180055,0.706542268546361,0.18224259403619492,0.8398495315259509,0.299495903543108,76919.33333333333,0.9419236768092561,0.4080105146763442,0.5693806377151918,489664.6666666667,0.5919894853236558,0.1601504684740491,37.43610832639115,64600.666666666664,289876.3333333333,199788.33333333334,12318.666666666666
model_11,0.4,6,0.05,5,0.8,0.5665338237578187,0.706542268546361,0.20305612771579604,0.7497724845615465,0.3195659104629412,76919.33333333333,0.9318842643663192,0.5377496431323018,0.6819655541946191,489664.6666666667,0.46225035686769833,0.25022751543845345,49.871569499550525,57672.0,226347.66666666666,263317.0,19247.333333333332
model_11,0.45,6,0.05,5,0.8,0.6562845638657876,0.706542268546361,0.2282621230831762,0.6433536464648782,0.33696696605795334,76919.33333333333,0.9215727296974249,0.6583158280205411,0.7680099912862075,489664.6666666667,0.34168417197945883,0.3566463535351218,61.73612385806871,49486.333333333336,167310.66666666666,322354.0,27433.0
model_12,0.15,6,0.05,5,1.0,0.16402392819658398,0.706373864914185,0.1392264548288837,0.9952157689136515,0.2442792309511811,76919.33333333333,0.978045038772065,0.0334555498756918,0.0646941189928406,489664.6666666667,0.9665444501243082,0.00478423108634846,2.9563136269291044,76551.33333333333,473282.6666666667,16382.0,368.0
model_12,0.2,6,0.05,5,1.0,0.209173455892389,0.706373864914185,0.144668829443769,0.9822584697612998,0.25219403976976323,76919.33333333333,0.9692132713278728,0.0877328299053335,0.16090001261662432,489664.6666666667,0.9122671700946666,0.01774153023870016,7.823082426142167,75554.66666666667,446705.0,42959.666666666664,1364.6666666666667
model_12,0.25,6,0.05,5,1.0,0.28110159599753376,0.706373864914185,0.15375850474760056,0.9537394165371437,0.2648230255916551,76919.33333333333,0.9602335337781863,0.1754397903588892,0.2966709151383198,489664.6666666667,0.8245602096411108,0.046260583462856275,15.79024469452014,73361.0,403758.0,85906.66666666667,3558.3333333333335
model_12,0.3,6,0.05,5,1.0,0.36920503697009915,0.706373864914185,0.16607000454458473,0.9067117906182984,0.2807234869394593,76919.33333333333,0.9510610895523316,0.2847703933119321,0.4382990492517018,489664.6666666667,0.715229606688068,0.0932882093817015,25.87748095016214,69743.66666666667,350222.6666666667,139442.0,7175.666666666667
model_12,0.35,6,0.05,5,1.0,0.4671299107163868,0.706373864914185,0.18230533804611815,0.8392645033925747,0.2995435417456758,76919.33333333333,0.941812310187284,0.40867287300164773,0.5700060825703347,489664.6666666667,0.5913271269983521,0.16073549660742525,37.50129430646353,64555.666666666664,289552.0,200112.66666666666,12363.666666666666
model_12,0.4,6,0.05,5,1.0,0.5657566515585803,0.706373864914185,0.20294236598350632,0.7510162094839944,0.319537786647423,76919.33333333333,0.9320700807256483,0.5366550161886049,0.6811344314423199,489664.6666666667,0.46334498381139516,0.2489837905160057,49.76008264735091,57767.666666666664,226883.66666666666,262781.0,19151.666666666668
model_12,0.45,6,0.05,5,1.0,0.6555256296212625,0.706373864914185,0.22811897661147007,0.6449570571736748,0.3370308666901363,76919.33333333333,0.9217734964550383,0.6571858029236816,0.7673106464574101,489664.6666666667,0.3428141970763183,0.35504294282632515,61.61669467075197,49609.666666666664,167864.0,321800.6666666667,27309.666666666668
